YEAR,STATE,RATE,URL
2020,AL,48.4,/nchs/pressroom/states/alabama/al.htm
2020,AK,36.5,/nchs/pressroom/states/alaska/ak.htm
2020,AZ,45.2,/nchs/pressroom/states/arizona/az.htm
2020,AR,46.8,/nchs/pressroom/states/arkansas/ar.htm
2020,CA,38.6,/nchs/pressroom/states/california/ca.htm
2020,CO,23.2,/nchs/pressroom/states/colorado/co.htm
2020,CT,38.1,/nchs/pressroom/states/connecticut/ct.htm
2020,DE,48.1,/nchs/pressroom/states/delaware/de.htm
2020,FL,47.2,/nchs/pressroom/states/florida/fl.htm
2020,GA,46.3,/nchs/pressroom/states/georgia/ga.htm
2020,HI,39.4,/nchs/pressroom/states/hawaii/hi.htm
2020,ID,27.7,/nchs/pressroom/states/idaho/id.htm
2020,IL,40.5,/nchs/pressroom/states/illinois/il.htm
2020,IN,43.6,/nchs/pressroom/states/indiana/in.htm
2020,IA,36.3,/nchs/pressroom/states/iowa/ia.htm
2020,KS,36.8,/nchs/pressroom/states/kansas/ks.htm
2020,KY,43.1,/nchs/pressroom/states/kentucky/ky.htm
2020,LA,54.5,/nchs/pressroom/states/louisiana/la.htm
2020,ME,38.4,/nchs/pressroom/states/maine/me.htm
2020,MD,40.8,/nchs/pressroom/states/maryland/md.htm
2020,MA,33,/nchs/pressroom/states/massachusetts/ma.htm
2020,MI,41.2,/nchs/pressroom/states/michigan/mi.htm
2020,MN,32.6,/nchs/pressroom/states/minnesota/mn.htm
2020,MS,55.8,/nchs/pressroom/states/mississippi/ms.htm
2020,MO,41.1,/nchs/pressroom/states/missouri/mo.htm
2020,MT,33.9,/nchs/pressroom/states/montana/mt.htm
2020,NE,33.4,/nchs/pressroom/states/nebraska/ne.htm
2020,NV,48.8,/nchs/pressroom/states/nevada/nv.htm
2020,NH,32.1,/nchs/pressroom/states/newhampshire/nh.htm
2020,NJ,33.9,/nchs/pressroom/states/newjersey/nj.htm
2020,NM,53.2,/nchs/pressroom/states/newmexico/nm.htm
2020,NY,38.1,/nchs/pressroom/states/newyork/ny.htm
2020,NC,41.9,/nchs/pressroom/states/northcarolina/nc.htm
2020,ND,32.8,/nchs/pressroom/states/northdakota/nd.htm
2020,OH,43.6,/nchs/pressroom/states/ohio/oh.htm
2020,OK,44.4,/nchs/pressroom/states/oklahoma/ok.htm
2020,OR,36.7,/nchs/pressroom/states/oregon/or.htm
2020,PA,40.9,/nchs/pressroom/states/pennsylvania/pa.htm
2020,RI,44.7,/nchs/pressroom/states/rhodeisland/ri.htm
2020,SC,46.6,/nchs/pressroom/states/southcarolina/sc.htm
2020,SD,36,/nchs/pressroom/states/southdakota/sd.htm
2020,TN,44.6,/nchs/pressroom/states/tennessee/tn.htm
2020,TX,41.7,/nchs/pressroom/states/texas/tx.htm
2020,UT,19.3,/nchs/pressroom/states/utah/ut.htm
2020,VT,38.9,/nchs/pressroom/states/vermont/vt.htm
2020,VA,35.8,/nchs/pressroom/states/virginia/va.htm
2020,WA,31.6,/nchs/pressroom/states/washington/wa.htm
2020,WV,46.8,/nchs/pressroom/states/westvirginia/wv.htm
2020,WI,37.9,/nchs/pressroom/states/wisconsin/wi.htm
2020,WY,34.1,/nchs/pressroom/states/wyoming/wy.htm
2019,AL,48.3,/nchs/pressroom/states/alabama/al.htm
2019,AK,36.3,/nchs/pressroom/states/alaska/ak.htm
2019,AZ,45.2,/nchs/pressroom/states/arizona/az.htm
2019,AR,46.8,/nchs/pressroom/states/arkansas/ar.htm
2019,CA,37.2,/nchs/pressroom/states/california/ca.htm
2019,CO,23.4,/nchs/pressroom/states/colorado/co.htm
2019,CT,36.8,/nchs/pressroom/states/connecticut/ct.htm
2019,DE,47.1,/nchs/pressroom/states/delaware/de.htm
2019,FL,46.6,/nchs/pressroom/states/florida/fl.htm
2019,GA,45.6,/nchs/pressroom/states/georgia/ga.htm
2019,HI,38.4,/nchs/pressroom/states/hawaii/hi.htm
2019,ID,27.1,/nchs/pressroom/states/idaho/id.htm
2019,IL,39.5,/nchs/pressroom/states/illinois/il.htm
2019,IN,43.5,/nchs/pressroom/states/indiana/in.htm
2019,IA,35.1,/nchs/pressroom/states/iowa/ia.htm
2019,KS,36.4,/nchs/pressroom/states/kansas/ks.htm
2019,KY,42.3,/nchs/pressroom/states/kentucky/ky.htm
2019,LA,54,/nchs/pressroom/states/louisiana/la.htm
2019,ME,38.3,/nchs/pressroom/states/maine/me.htm
2019,MD,40.5,/nchs/pressroom/states/maryland/md.htm
2019,MA,32.4,/nchs/pressroom/states/massachusetts/ma.htm
2019,MI,41,/nchs/pressroom/states/michigan/mi.htm
2019,MN,32,/nchs/pressroom/states/minnesota/mn.htm
2019,MS,54.9,/nchs/pressroom/states/mississippi/ms.htm
2019,MO,40.4,/nchs/pressroom/states/missouri/mo.htm
2019,MT,34.8,/nchs/pressroom/states/montana/mt.htm
2019,NE,33.7,/nchs/pressroom/states/nebraska/ne.htm
2019,NV,48.1,/nchs/pressroom/states/nevada/nv.htm
2019,NH,31.6,/nchs/pressroom/states/newhampshire/nh.htm
2019,NJ,33.6,/nchs/pressroom/states/newjersey/nj.htm
2019,NM,51.5,/nchs/pressroom/states/newmexico/nm.htm
2019,NY,37.5,/nchs/pressroom/states/newyork/ny.htm
2019,NC,41.6,/nchs/pressroom/states/northcarolina/nc.htm
2019,ND,32.1,/nchs/pressroom/states/northdakota/nd.htm
2019,OH,43.6,/nchs/pressroom/states/ohio/oh.htm
2019,OK,43.6,/nchs/pressroom/states/oklahoma/ok.htm
2019,OR,36,/nchs/pressroom/states/oregon/or.htm
2019,PA,40.9,/nchs/pressroom/states/pennsylvania/pa.htm
2019,RI,44.4,/nchs/pressroom/states/rhodeisland/ri.htm
2019,SC,46.7,/nchs/pressroom/states/southcarolina/sc.htm
2019,SD,36.2,/nchs/pressroom/states/southdakota/sd.htm
2019,TN,44,/nchs/pressroom/states/tennessee/tn.htm
2019,TX,41.4,/nchs/pressroom/states/texas/tx.htm
2019,UT,19.2,/nchs/pressroom/states/utah/ut.htm
2019,VT,39.8,/nchs/pressroom/states/vermont/vt.htm
2019,VA,35.1,/nchs/pressroom/states/virginia/va.htm
2019,WA,31.3,/nchs/pressroom/states/washington/wa.htm
2019,WV,46.7,/nchs/pressroom/states/westvirginia/wv.htm
2019,WI,37.6,/nchs/pressroom/states/wisconsin/wi.htm
2019,WY,33.6,/nchs/pressroom/states/wyoming/wy.htm
2018,AL,46.8,/nchs/pressroom/states/alabama/al.htm
2018,AK,35.3,/nchs/pressroom/states/alaska/ak.htm
2018,AZ,44.9,/nchs/pressroom/states/arizona/az.htm
2018,AR,45.4,/nchs/pressroom/states/arkansas/ar.htm
2018,CA,37.1,/nchs/pressroom/states/california/ca.htm
2018,CO,23.2,/nchs/pressroom/states/colorado/co.htm
2018,CT,37.1,/nchs/pressroom/states/connecticut/ct.htm
2018,DE,47,/nchs/pressroom/states/delaware/de.htm
2018,FL,46.4,/nchs/pressroom/states/florida/fl.htm
2018,GA,45.1,/nchs/pressroom/states/georgia/ga.htm
2018,HI,38.1,/nchs/pressroom/states/hawaii/hi.htm
2018,ID,27,/nchs/pressroom/states/idaho/id.htm
2018,IL,39.3,/nchs/pressroom/states/illinois/il.htm
2018,IN,43.2,/nchs/pressroom/states/indiana/in.htm
2018,IA,34.9,/nchs/pressroom/states/iowa/ia.htm
2018,KS,36.4,/nchs/pressroom/states/kansas/ks.htm
2018,KY,41.9,/nchs/pressroom/states/kentucky/ky.htm
2018,LA,53.3,/nchs/pressroom/states/louisiana/la.htm
2018,ME,38.8,/nchs/pressroom/states/maine/me.htm
2018,MD,39.2,/nchs/pressroom/states/maryland/md.htm
2018,MA,32.5,/nchs/pressroom/states/massachusetts/ma.htm
2018,MI,40.8,/nchs/pressroom/states/michigan/mi.htm
2018,MN,31.9,/nchs/pressroom/states/minnesota/mn.htm
2018,MS,54.1,/nchs/pressroom/states/mississippi/ms.htm
2018,MO,40.3,/nchs/pressroom/states/missouri/mo.htm
2018,MT,34.9,/nchs/pressroom/states/montana/mt.htm
2018,NE,32.5,/nchs/pressroom/states/nebraska/ne.htm
2018,NV,48.3,/nchs/pressroom/states/nevada/nv.htm
2018,NH,32.9,/nchs/pressroom/states/newhampshire/nh.htm
2018,NJ,33.8,/nchs/pressroom/states/newjersey/nj.htm
2018,NM,51.2,/nchs/pressroom/states/newmexico/nm.htm
2018,NY,37.5,/nchs/pressroom/states/newyork/ny.htm
2018,NC,40.9,/nchs/pressroom/states/northcarolina/nc.htm
2018,ND,31.9,/nchs/pressroom/states/northdakota/nd.htm
2018,OH,43.2,/nchs/pressroom/states/ohio/oh.htm
2018,OK,42.2,/nchs/pressroom/states/oklahoma/ok.htm
2018,OR,36.3,/nchs/pressroom/states/oregon/or.htm
2018,PA,40.8,/nchs/pressroom/states/pennsylvania/pa.htm
2018,RI,43.6,/nchs/pressroom/states/rhodeisland/ri.htm
2018,SC,46.2,/nchs/pressroom/states/southcarolina/sc.htm
2018,SD,36.1,/nchs/pressroom/states/southdakota/sd.htm
2018,TN,43.5,/nchs/pressroom/states/tennessee/tn.htm
2018,TX,40.8,/nchs/pressroom/states/texas/tx.htm
2018,UT,19.2,/nchs/pressroom/states/utah/ut.htm
2018,VT,38.5,/nchs/pressroom/states/vermont/vt.htm
2018,VA,34.7,/nchs/pressroom/states/virginia/va.htm
2018,WA,31.1,/nchs/pressroom/states/washington/wa.htm
2018,WV,45.7,/nchs/pressroom/states/westvirginia/wv.htm
2018,WI,37.4,/nchs/pressroom/states/wisconsin/wi.htm
2018,WY,33.3,/nchs/pressroom/states/wyoming/wy.htm
2017,AL,47.1,/nchs/pressroom/states/alabama/alabama.htm
2017,AK,35.3,/nchs/pressroom/states/alaska/alaska.htm
2017,AZ,44.8,/nchs/pressroom/states/arizona/arizona.htm
2017,AR,45.5,/nchs/pressroom/states/arkansas/arkansas.htm
2017,CA,37.5,/nchs/pressroom/states/california/california.htm
2017,CO,22.5,/nchs/pressroom/states/colorado/colorado.htm
2017,CT,36.6,/nchs/pressroom/states/connecticut/connecticut.htm
2017,DE,47.6,/nchs/pressroom/states/delaware/delaware.htm
2017,FL,47,/nchs/pressroom/states/florida/florida.htm
2017,GA,44.9,/nchs/pressroom/states/georgia/georgia.htm
2017,HI,38.6,/nchs/pressroom/states/hawaii/hawaii.htm
2017,ID,28.1,/nchs/pressroom/states/idaho/idaho.htm
2017,IL,39.8,/nchs/pressroom/states/illinois/illinois.htm
2017,IN,42.8,/nchs/pressroom/states/indiana/indiana.htm
2017,IA,35.4,/nchs/pressroom/states/iowa/iowa.htm
2017,KS,35.7,/nchs/pressroom/states/kansas/kansas.htm
2017,KY,41.6,/nchs/pressroom/states/kentucky/kentucky.htm
2017,LA,52.7,/nchs/pressroom/states/louisiana/louisiana.htm
2017,ME,39,/nchs/pressroom/states/maine/maine.htm
2017,MD,39.6,/nchs/pressroom/states/maryland/maryland.htm
2017,MA,33,/nchs/pressroom/states/massachusetts/massachusetts.htm
2017,MI,41.1,/nchs/pressroom/states/michigan/michigan.htm
2017,MN,32,/nchs/pressroom/states/minnesota/minnesota.htm
2017,MS,53.5,/nchs/pressroom/states/mississippi/mississippi.htm
2017,MO,39.9,/nchs/pressroom/states/missouri/missouri.htm
2017,MT,35.9,/nchs/pressroom/states/montana/montana.htm
2017,NE,33.2,/nchs/pressroom/states/nebraska/nebraska.htm
2017,NV,48.4,/nchs/pressroom/states/nevada/nevada.htm
2017,NH,32.6,/nchs/pressroom/states/newhampshire/newhampshire.htm
2017,NJ,33.9,/nchs/pressroom/states/newjersey/newjersey.htm
2017,NM,51.7,/nchs/pressroom/states/newmexico/newmexico.htm
2017,NY,38,/nchs/pressroom/states/newyork/newyork.htm
2017,NC,40.9,/nchs/pressroom/states/northcarolina/northcarolina.htm
2017,ND,31.5,/nchs/pressroom/states/northdakota/northdakota.htm
2017,OH,43.2,/nchs/pressroom/states/ohio/ohio.htm
2017,OK,42,/nchs/pressroom/states/oklahoma/oklahoma.htm
2017,OR,36.2,/nchs/pressroom/states/oregon/oregon.htm
